Text,Label
May sunog sa building ng dorm! Please come fast!,others
Car accident sa harap ng gate!,others
"Baha na sa kalsada, hindi makalabas!",others
Res: Somebody fainted outside chapel!,others
May nawawalang bata sa campus! Please come fast!,others
I can hear gunshots nearby!,others
Nasira ang tricycle at natabunan kami ng lupa!,others
Nakakuha ng poison bar lang ang courier! Please come fast!,others
"Overcrowded po ang hallway, sakit na dami!",others
May sunog sa building ng dorm!,others
Res: Car accident sa harap ng gate! Please come fast!,others
"Res: Baha na sa kalsada, hindi makalabas!",others
Somebody fainted outside chapel!,others
May nawawalang bata sa campus!,others
I can hear gunshots nearby! Please come fast!,others
Res: Nasira ang tricycle at natabunan kami ng lupa!,others
Nakakuha ng poison bar lang ang courier!,others
"Overcrowded po ang hallway, sakit na dami!",others
Res: May sunog sa building ng dorm! Please come fast!,others
Car accident sa harap ng gate!,others
"Baha na sa kalsada, hindi makalabas!",others
Res: Somebody fainted outside chapel!,others
May nawawalang bata sa campus! Please come fast!,others
I can hear gunshots nearby!,others
Res: Nasira ang tricycle at natabunan kami ng lupa!,others
Res: Nakakuha ng poison bar lang ang courier! Please come fast!,others
"Overcrowded po ang hallway, sakit na dami! Please come fast!",others
May sunog sa building ng dorm! Please come fast!,others
Res: Car accident sa harap ng gate!,others
"Baha na sa kalsada, hindi makalabas!",others
Somebody fainted outside chapel!,others
May nawawalang bata sa campus! Please come fast!,others
I can hear gunshots nearby!,others
Nasira ang tricycle at natabunan kami ng lupa!,others
Nakakuha ng poison bar lang ang courier!,others
"Overcrowded po ang hallway, sakit na dami! Please come fast!",others
Res: May sunog sa building ng dorm!,others
Car accident sa harap ng gate! Please come fast!,others
"Baha na sa kalsada, hindi makalabas!",others
Somebody fainted outside chapel! Please come fast!,others
May nawawalang bata sa campus!,others
Res: I can hear gunshots nearby!,others
Nasira ang tricycle at natabunan kami ng lupa! Please come fast!,others
Nakakuha ng poison bar lang ang courier!,others
"Overcrowded po ang hallway, sakit na dami! Please come fast!",others
May sunog sa building ng dorm!,others
Res: Car accident sa harap ng gate!,others
"Res: Baha na sa kalsada, hindi makalabas! Please come fast!",others
Res: Somebody fainted outside chapel!,others
Res: May nawawalang bata sa campus!,others
Res: I can hear gunshots nearby! Please come fast!,others
Nasira ang tricycle at natabunan kami ng lupa!,others
Res: Nakakuha ng poison bar lang ang courier!,others
"Overcrowded po ang hallway, sakit na dami!",others
May sunog sa building ng dorm!,others
Car accident sa harap ng gate!,others
"Res: Baha na sa kalsada, hindi makalabas! Please come fast!",others
Res: Somebody fainted outside chapel!,others
Res: May nawawalang bata sa campus!,others
I can hear gunshots nearby!,others
Nasira ang tricycle at natabunan kami ng lupa! Please come fast!,others
Res: Nakakuha ng poison bar lang ang courier!,others
"Res: Overcrowded po ang hallway, sakit na dami!",others
May sunog sa building ng dorm! Please come fast!,others
Car accident sa harap ng gate!,others
"Res: Baha na sa kalsada, hindi makalabas! Please come fast!",others
Somebody fainted outside chapel!,others
May nawawalang bata sa campus!,others
I can hear gunshots nearby! Please come fast!,others
Nasira ang tricycle at natabunan kami ng lupa!,others
Nakakuha ng poison bar lang ang courier!,others
"Overcrowded po ang hallway, sakit na dami!",others
May sunog sa building ng dorm!,others
Res: Car accident sa harap ng gate!,others
