Text,Label
Res: may isang tao keeps following me!,harassment
May nangingialam sa personal ko!,harassment
Res: He keeps texting dirty messages!,harassment
May taong inaasar ako palagi!,harassment
They touched me without consent!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Res: Nakakaba, sila are staring and whistling at me!",harassment
This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school!,harassment
may isang tao keeps following me!,harassment
May nangingialam sa personal ko!,harassment
He keeps texting dirty messages! Please come fast!,harassment
May taong inaasar ako palagi! Please come fast!,harassment
They touched me without consent!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Res: Nakakaba, sila are staring and whistling at me! Please come fast!",harassment
This person won't stop harassing me!,harassment
Res: Pinapapel na nila ako sa school! Please come fast!,harassment
Someone keeps following me!,harassment
May nangingialam sa personal ko! Please come fast!,harassment
He keeps texting dirty messages!,harassment
May taong inaasar ako palagi! Please come fast!,harassment
They touched me without consent!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, sila are staring and whistling at me!",harassment
This person won't stop harassing me! Please come fast!,harassment
Pinapapel na nila ako sa school!,harassment
Someone keeps following me!,harassment
Res: May nangingialam sa personal ko!,harassment
Res: He keeps texting dirty messages!,harassment
May taong inaasar ako palagi! Please come fast!,harassment
Res: sila touched me without consent! Please come fast!,harassment
Res: Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, they are staring and whistling at me!",harassment
This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school!,harassment
may isang tao keeps following me! Please come fast!,harassment
May nangingialam sa personal ko!,harassment
Res: He keeps texting dirty messages!,harassment
May taong inaasar ako palagi! Please come fast!,harassment
They touched me without consent!,harassment
Res: Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, they are staring and whistling at me! Please come fast!",harassment
This person won't stop harassing me! Please come fast!,harassment
Res: Pinapapel na nila ako sa school!,harassment
Someone keeps following me!,harassment
May nangingialam sa personal ko!,harassment
He keeps texting dirty messages! Please come fast!,harassment
May taong inaasar ako palagi!,harassment
Res: They touched me without consent!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Res: Nakakaba, they are staring and whistling at me!",harassment
Res: This person won't stop harassing me! Please come fast!,harassment
Pinapapel na nila ako sa school!,harassment
Someone keeps following me!,harassment
May nangingialam sa personal ko!,harassment
Res: He keeps texting dirty messages! Please come fast!,harassment
May taong inaasar ako palagi!,harassment
Res: sila touched me without consent!,harassment
Res: Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, they are staring and whistling at me!",harassment
Res: This person won't stop harassing me! Please come fast!,harassment
Pinapapel na nila ako sa school!,harassment
may isang tao keeps following me!,harassment
May nangingialam sa personal ko!,harassment
Res: He keeps texting dirty messages!,harassment
May taong inaasar ako palagi! Please come fast!,harassment
They touched me without consent! Please come fast!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, sila are staring and whistling at me! Please come fast!",harassment
This person won't stop harassing me! Please come fast!,harassment
Pinapapel na nila ako sa school!,harassment
Someone keeps following me!,harassment
May nangingialam sa personal ko!,harassment
He keeps texting dirty messages!,harassment
May taong inaasar ako palagi! Please come fast!,harassment
sila touched me without consent!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, sila are staring and whistling at me!",harassment
Res: This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school!,harassment
Someone keeps following me!,harassment
Res: May nangingialam sa personal ko!,harassment
He keeps texting dirty messages!,harassment
May taong inaasar ako palagi!,harassment
They touched me without consent!,harassment
Res: Sinakal nila ako habang naglalakad! Please come fast!,harassment
"Nakakaba, they are staring and whistling at me!",harassment
Res: This person won't stop harassing me! Please come fast!,harassment
Pinapapel na nila ako sa school!,harassment
Res: Someone keeps following me!,harassment
Res: May nangingialam sa personal ko!,harassment
Res: He keeps texting dirty messages!,harassment
Res: May taong inaasar ako palagi!,harassment
They touched me without consent!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Res: Nakakaba, they are staring and whistling at me! Please come fast!",harassment
Res: This person won't stop harassing me!,harassment
Pinapapel na nila ako sa school!,harassment
Someone keeps following me!,harassment
May nangingialam sa personal ko!,harassment
He keeps texting dirty messages!,harassment
Res: May taong inaasar ako palagi!,harassment
They touched me without consent! Please come fast!,harassment
Sinakal nila ako habang naglalakad!,harassment
"Nakakaba, sila are staring and whistling at me!",harassment
This person won't stop harassing me! Please come fast!,harassment
Pinapapel na nila ako sa school! Please come fast!,harassment
may isang tao keeps following me! Please come fast!,harassment
Res: May nangingialam sa personal ko!,harassment
He keeps texting dirty messages!,harassment
May taong inaasar ako palagi!,harassment
