Text,Label
May nanaksak sa akin!,assault
Sinaksak ako outside building!,assault
Res: They punched me sa rally!,assault
"Help, someone hit me with a stick!",assault
"Pinagbugbog nila ako, takot na takot ako!",assault
May sumapak sa akin sa kalsada!,assault
They slapped me for no reason!,assault
Nasapak po ako kanina!,assault
Nabaril ako sa paa!,assault
May nanaksak sa akin!,assault
Sinaksak ako outside building!,assault
Res: sila punched me sa rally!,assault
"Help, someone hit me with a stick!",assault
"Pinagbugbog nila ako, takot na takot ako! Please come fast!",assault
Res: May sumapak sa akin sa kalsada!,assault
sila slapped me for no reason!,assault
Nasapak po ako kanina! Please come fast!,assault
Nabaril ako sa paa!,assault
Res: May nanaksak sa akin!,assault
Sinaksak ako outside building!,assault
sila punched me sa rally!,assault
"Help, someone hit me with a stick!",assault
"Res: Pinagbugbog nila ako, takot na takot ako!",assault
Res: May sumapak sa akin sa kalsada!,assault
sila slapped me for no reason!,assault
Res: Nasapak po ako kanina!,assault
Nabaril ako sa paa!,assault
May nanaksak sa akin! Please come fast!,assault
Sinaksak ako outside building! Please come fast!,assault
sila punched me sa rally!,assault
"Help, may isang tao hit me with a stick! Please come fast!",assault
"Pinagbugbog nila ako, takot na takot ako!",assault
Res: May sumapak sa akin sa kalsada!,assault
sila slapped me for no reason!,assault
Res: Nasapak po ako kanina! Please come fast!,assault
Res: Nabaril ako sa paa!,assault
May nanaksak sa akin!,assault
Sinaksak ako outside building!,assault
They punched me sa rally! Please come fast!,assault
"Help, someone hit me with a stick!",assault
"Pinagbugbog nila ako, takot na takot ako!",assault
May sumapak sa akin sa kalsada!,assault
Res: They slapped me for no reason!,assault
Nasapak po ako kanina!,assault
Nabaril ako sa paa! Please come fast!,assault
May nanaksak sa akin!,assault
Sinaksak ako outside building!,assault
Res: They punched me sa rally! Please come fast!,assault
"Help, may isang tao hit me with a stick! Please come fast!",assault
"Pinagbugbog nila ako, takot na takot ako!",assault
Res: May sumapak sa akin sa kalsada!,assault
sila slapped me for no reason! Please come fast!,assault
Nasapak po ako kanina! Please come fast!,assault
Nabaril ako sa paa!,assault
Res: May nanaksak sa akin!,assault
Sinaksak ako outside building!,assault
Res: sila punched me sa rally!,assault
"Help, someone hit me with a stick! Please come fast!",assault
"Res: Pinagbugbog nila ako, takot na takot ako! Please come fast!",assault
May sumapak sa akin sa kalsada!,assault
They slapped me for no reason!,assault
Res: Nasapak po ako kanina!,assault
Nabaril ako sa paa!,assault
Res: May nanaksak sa akin!,assault
Sinaksak ako outside building! Please come fast!,assault
Res: sila punched me sa rally! Please come fast!,assault
"Res: Help, someone hit me with a stick!",assault
"Pinagbugbog nila ako, takot na takot ako!",assault
May sumapak sa akin sa kalsada!,assault
Res: They slapped me for no reason!,assault
Nasapak po ako kanina!,assault
Nabaril ako sa paa!,assault
Res: May nanaksak sa akin!,assault
Sinaksak ako outside building! Please come fast!,assault
Res: sila punched me sa rally! Please come fast!,assault
"Help, may isang tao hit me with a stick! Please come fast!",assault
"Pinagbugbog nila ako, takot na takot ako!",assault
Res: May sumapak sa akin sa kalsada!,assault
They slapped me for no reason!,assault
Res: Nasapak po ako kanina!,assault
Res: Nabaril ako sa paa!,assault
May nanaksak sa akin! Please come fast!,assault
Res: Sinaksak ako outside building!,assault
sila punched me sa rally!,assault
"Res: Help, may isang tao hit me with a stick!",assault
"Pinagbugbog nila ako, takot na takot ako! Please come fast!",assault
May sumapak sa akin sa kalsada!,assault
They slapped me for no reason!,assault
Nasapak po ako kanina!,assault
Nabaril ako sa paa! Please come fast!,assault
Res: May nanaksak sa akin!,assault
Res: Sinaksak ako outside building!,assault
Res: sila punched me sa rally!,assault
"Res: Help, may isang tao hit me with a stick!",assault
"Res: Pinagbugbog nila ako, takot na takot ako! Please come fast!",assault
May sumapak sa akin sa kalsada! Please come fast!,assault
sila slapped me for no reason!,assault
Nasapak po ako kanina! Please come fast!,assault
Nabaril ako sa paa!,assault
May nanaksak sa akin!,assault
Sinaksak ako outside building!,assault
They punched me sa rally! Please come fast!,assault
"Help, someone hit me with a stick!",assault
"Pinagbugbog nila ako, takot na takot ako! Please come fast!",assault
Res: May sumapak sa akin sa kalsada!,assault
Res: sila slapped me for no reason!,assault
Nasapak po ako kanina! Please come fast!,assault
Nabaril ako sa paa!,assault
May nanaksak sa akin! Please come fast!,assault
Sinaksak ako outside building! Please come fast!,assault
Res: sila punched me sa rally!,assault
"Help, may isang tao hit me with a stick!",assault
"Res: Pinagbugbog nila ako, takot na takot ako!",assault
May sumapak sa akin sa kalsada! Please come fast!,assault
They slapped me for no reason!,assault
Nasapak po ako kanina!,assault
May gusto pumatay sakin!,assault
May nanaksak sa akin! Please come fast!,assault
Res: Sinaksak ako outside building!,assault
They punched me sa rally!,assault
"Res: Help, may isang tao hit me with a stick! Please come fast!",assault
"Pinagbugbog nila ako, takot na takot ako!",assault
May sumapak sa akin sa kalsada!,assault
sila slapped me for no reason! Please come fast!,assault
Nasapak po ako kanina!,assault
Nabaril ako sa paa! Please come fast!,assault
May nanaksak sa akin!,assault
Sinaksak ako outside building!,assault
sila punched me sa rally!,assault
"Res: Help, someone hit me with a stick!",assault
"Pinagbugbog nila ako, takot na takot ako! Please come fast!",assault
May sumapak sa akin sa kalsada! Please come fast!,assault
sila slapped me for no reason!,assault
Res: Nasapak po ako kanina!,assault
Res: Nabaril ako sa paa!,assault
May nanaksak sa akin!,assault
Res: Sinaksak ako outside building! Please come fast!,assault
sila punched me sa rally!,assault
"Res: Help, someone hit me with a stick!",assault
"Pinagbugbog nila ako, takot na takot ako!",assault
May sumapak sa akin sa kalsada! Please come fast!,assault
They slapped me for no reason!,assault
Nasapak po ako kanina! Please come fast!,assault
Nabaril ako sa paa!,assault
Res: May nanaksak sa akin!,assault
Sinaksak ako outside building!,assault
They punched me sa rally! Please come fast!,assault
"Help, someone hit me with a stick! Please come fast!",assault
"Res: Pinagbugbog nila ako, takot na takot ako! Please come fast!",assault
May sumapak sa akin sa kalsada! Please come fast!,assault
sila slapped me for no reason!,assault
Nasapak po ako kanina!,assault
