Text,Label
Help! Someone is robbing me right now!,robbery
May lalaking nanloob sa tindahan namin!,robbery
Ninakawan ako sa kanto habang pauwi!,robbery
He took my phone and ran away!,robbery
Naholdap ako sa tapat ng university!,robbery
"Kuya, nanakawan po ako!",robbery
Someone punched me for no reason!,assault
Sinaktan ako ng lalaki sa labas!,assault
He hit me with a stick!,assault
Binugbog ako kanina habang naglalakad!,assault
Nasapak ako habang nasa daan!,assault
May lalaki na nanakit sa akin bigla!,assault
"That man keeps following me, I feel unsafe.",harassment
"May lalaking sumusunod sa akin, nakakakaba!",harassment
He touched me without consent!,harassment
Lagi niya akong tinititigan at sinusundan!,harassment
Binabastos ako habang naglalakad sa labas!,harassment
May nanghaharass sa akin!,harassment
May sunog sa kabilang building!,others
Car accident sa tapat ng school!,others
"Baha na sa labas, hindi makalabas!",others
May nawawalang bata sa campus!,others
Somebody fainted outside the classroom!,others
I can hear gunshots nearby!,others
