Text,Label
Help! sila are robbing me!,robbery
"Nanakawan po ako, pera at phone nila kinuha!",robbery
Res: They stole my bag sa jeep!,robbery
Holdapin ako sa labas ng mall!,robbery
"Res: Please hurry, they took my wallet! Please come fast!",robbery
May holdapan sa kanto!,robbery
Res: aking phone was snatched kanina! Please come fast!,robbery
"Sir, suhol nila lahat ng gamit ko!",robbery
Nakawan ako habang naglalakad papunta school!,robbery
Help! sila are robbing me!,robbery
"Nanakawan po ako, pera at phone nila kinuha! Please come fast!",robbery
They stole my bag sa jeep!,robbery
Holdapin ako sa labas ng mall! Please come fast!,robbery
"Please hurry, sila took aking wallet!",robbery
May holdapan sa kanto!,robbery
aking phone was snatched kanina! Please come fast!,robbery
"Sir, suhol nila lahat ng gamit ko!",robbery
Res: Nakawan ako habang naglalakad papunta school!,robbery
Help! They are robbing me!,robbery
"Nanakawan po ako, pera at phone nila kinuha!",robbery
They stole my bag sa jeep! Please come fast!,robbery
Holdapin ako sa labas ng mall!,robbery
"Res: Please hurry, they took my wallet! Please come fast!",robbery
May holdapan sa kanto!,robbery
My phone was snatched kanina!,robbery
"Sir, suhol nila lahat ng gamit ko! Please come fast!",robbery
Nakawan ako habang naglalakad papunta school!,robbery
Help! They are robbing me!,robbery
"Nanakawan po ako, pera at phone nila kinuha!",robbery
They stole my bag sa jeep!,robbery
Holdapin ako sa labas ng mall!,robbery
"Res: Please hurry, they took my wallet!",robbery
May holdapan sa kanto!,robbery
My phone was snatched kanina!,robbery
"Sir, suhol nila lahat ng gamit ko! Please come fast!",robbery
Nakawan ako habang naglalakad papunta school! Please come fast!,robbery
Help! sila are robbing me! Please come fast!,robbery
"Nanakawan po ako, pera at phone nila kinuha!",robbery
They stole my bag sa jeep!,robbery
Holdapin ako sa labas ng mall! Please come fast!,robbery
"Please hurry, they took my wallet!",robbery
May holdapan sa kanto!,robbery
Res: aking phone was snatched kanina!,robbery
"Sir, suhol nila lahat ng gamit ko! Please come fast!",robbery
Res: Nakawan ako habang naglalakad papunta school!,robbery
Help! They are robbing me!,robbery
"Nanakawan po ako, pera at phone nila kinuha!",robbery
sila stole aking bag sa jeep! Please come fast!,robbery
Res: Holdapin ako sa labas ng mall! Please come fast!,robbery
"Please hurry, they took my wallet! Please come fast!",robbery
May holdapan sa kanto!,robbery
My phone was snatched kanina! Please come fast!,robbery
"Sir, suhol nila lahat ng gamit ko!",robbery
Nakawan ako habang naglalakad papunta school!,robbery
Help! They are robbing me!,robbery
"Res: Nanakawan po ako, pera at phone nila kinuha!",robbery
sila stole aking bag sa jeep! Please come fast!,robbery
Holdapin ako sa labas ng mall!,robbery
"Res: Please hurry, they took my wallet!",robbery
May holdapan sa kanto! Please come fast!,robbery
Res: aking phone was snatched kanina!,robbery
"Sir, suhol nila lahat ng gamit ko! Please come fast!",robbery
Res: Nakawan ako habang naglalakad papunta school!,robbery
Help! They are robbing me!,robbery
"Nanakawan po ako, pera at phone nila kinuha! Please come fast!",robbery
sila stole aking bag sa jeep!,robbery
Holdapin ako sa labas ng mall!,robbery
"Please hurry, sila took aking wallet!",robbery
Res: May holdapan sa kanto!,robbery
aking phone was snatched kanina!,robbery
"Res: Sir, suhol nila lahat ng gamit ko!",robbery
Res: Nakawan ako habang naglalakad papunta school!,robbery
Res: Help! They are robbing me!,robbery
"Nanakawan po ako, pera at phone nila kinuha!",robbery
They stole my bag sa jeep!,robbery
Holdapin ako sa labas ng mall!,robbery
"Res: Please hurry, they took my wallet!",robbery
May holdapan sa kanto!,robbery
aking phone was snatched kanina!,robbery
"Sir, suhol nila lahat ng gamit ko!",robbery
Res: Nakawan ako habang naglalakad papunta school!,robbery
Help! They are robbing me!,robbery
"Nanakawan po ako, pera at phone nila kinuha! Please come fast!",robbery
sila stole aking bag sa jeep! Please come fast!,robbery
Holdapin ako sa labas ng mall!,robbery
"Please hurry, sila took aking wallet!",robbery
May holdapan sa kanto!,robbery
My phone was snatched kanina! Please come fast!,robbery
"Sir, suhol nila lahat ng gamit ko!",robbery
Nakawan ako habang naglalakad papunta school!,robbery
Help! sila are robbing me!,robbery
"Res: Nanakawan po ako, pera at phone nila kinuha!",robbery
They stole my bag sa jeep!,robbery
Holdapin ako sa labas ng mall!,robbery
"Please hurry, sila took aking wallet!",robbery
May holdapan sa kanto!,robbery
My phone was snatched kanina!,robbery
"Res: Sir, suhol nila lahat ng gamit ko!",robbery
Res: Nakawan ako habang naglalakad papunta school!,robbery
Res: Help! They are robbing me!,robbery
"Nanakawan po ako, pera at phone nila kinuha!",robbery
Res: They stole my bag sa jeep! Please come fast!,robbery
Holdapin ako sa labas ng mall!,robbery
"Please hurry, they took my wallet!",robbery
Res: May holdapan sa kanto! Please come fast!,robbery
Res: My phone was snatched kanina! Please come fast!,robbery
"Sir, suhol nila lahat ng gamit ko!",robbery
Res: Nakawan ako habang naglalakad papunta school!,robbery
Res: Help! They are robbing me!,robbery
"Nanakawan po ako, pera at phone nila kinuha!",robbery
sila stole aking bag sa jeep! Please come fast!,robbery
Res: Holdapin ako sa labas ng mall!,robbery
"Please hurry, sila took aking wallet! Please come fast!",robbery
May holdapan sa kanto! Please come fast!,robbery
My phone was snatched kanina!,robbery
"Sir, suhol nila lahat ng gamit ko!",robbery
Nakawan ako habang naglalakad papunta school!,robbery
Help! sila are robbing me! Please come fast!,robbery
"Nanakawan po ako, pera at phone nila kinuha!",robbery
They stole my bag sa jeep!,robbery
Holdapin ako sa labas ng mall!,robbery
"Please hurry, they took my wallet!",robbery
May holdapan sa kanto!,robbery
Res: aking phone was snatched kanina!,robbery
"Res: Sir, suhol nila lahat ng gamit ko!",robbery
Nakawan ako habang naglalakad papunta school! Please come fast!,robbery
Res: Help! They are robbing me! Please come fast!,robbery
"Res: Nanakawan po ako, pera at phone nila kinuha!",robbery
sila stole aking bag sa jeep!,robbery
Holdapin ako sa labas ng mall!,robbery
"Please hurry, they took my wallet!",robbery
Res: May holdapan sa kanto!,robbery
My phone was snatched kanina!,robbery
"Sir, suhol nila lahat ng gamit ko!",robbery
Res: Nakawan ako habang naglalakad papunta school!,robbery
Help! They are robbing me!,robbery
"Nanakawan po ako, pera at phone nila kinuha!",robbery
Res: They stole my bag sa jeep!,robbery
Holdapin ako sa labas ng mall!,robbery
"Please hurry, sila took aking wallet!",robbery
May holdapan sa kanto! Please come fast!,robbery
Res: aking phone was snatched kanina!,robbery
"Sir, suhol nila lahat ng gamit ko!",robbery
Nakawan ako habang naglalakad papunta school! Please come fast!,robbery
Res: Help! sila are robbing me!,robbery
